Tiempo,Comando,Veh_mot,Latitud,Longitud,Altitud,Velocidad N,Velocidad E,Velocidad D,Aceleración N,Aceleración E,Aceleración D,Deriva N,Deriva E,Deriva D
0,MOTB,v1_m1,2.28315054028818e-07,-3.14104501087284,508439.060128747,7546.71300269239,-1477.39747725156,10.0015421496205,-0.265418462554472,0.0890050527813814,8.59011269447629,0,0,0
57.4031546073313,MOTB,v1_m1,0.0633019940018183,3.12981397130261,507936.761473237,7531.47714565074,-1472.28830644591,503.101109245042,-0.265418462554472,0.0890050527813814,8.59011269447629,0,0,0
114.806309214663,MOTB,v1_m1,0.126603664053957,3.11742134515227,507577.911896384,7485.82308903857,-1457.1553112482,994.198336399969,-0.795323130313335,0.263626542848261,8.55523064044649,0,0,0
172.209463821994,MOTB,v1_m1,0.189894450663459,3.10489534775796,507361.368571358,7409.92598707371,-1432.0828229691,1481.21842066124,-1.32217649855737,0.43677892705737,8.48420417994012,0,0,0
229.612618429325,MOTB,v1_m1,0.253163452787859,3.09216457616026,507283.69125547,7304.08716834928,-1397.21314078112,1962.1035681287,-1.84378052823782,0.607452367844762,8.37732962163793,0,0,0
287.015773036656,MOTB,v1_m1,0.316399598544117,3.07915076154559,507339.228403207,7168.73277576982,-1352.74572744344,2434.82258357882,-2.35796087349832,0.774651038638146,8.23507033165294,0,0,0
344.418927643987,MOTB,v1_m1,0.379591549666042,3.0657657695682,507520.241096037,7004.41175674919,-1298.93609632069,2897.38024533076,-2.86257820053047,0.937398501717166,8.0580529923153,0,0,0
401.822082251319,MOTB,v1_m1,0.44272754858363,3.05190783392212,507817.060342843,6811.79322671581,-1236.09434952213,3347.82646128321,-3.35553910496726,1.09474378591974,7.84706379002604,0,0,0
459.22523685865,MOTB,v1_m1,0.505795184889645,3.03745668289308,508218.279985196,6591.66323610417,-1164.58339932032,3784.26511800032,-3.83480650353548,1.24576690411844,7.60304306797392,0,0,0
516.628391465981,MOTB,v1_m1,0.56878104208645,3.0222670369445,508710.972370996,6344.92097725918,-1084.81688628859,4204.86257008131,-4.29840939113608,1.38958413657538,7.32707905964579,0,0,0
574.031546073312,MOTB,v1_m1,0.631670175417803,3.00615969671445,509280.933508343,6072.57447287451,-997.25679925117,4607.85572252944,-4.74445187285725,1.52535322555659,7.02040079861168,0,0,0
631.434700680644,MOTB,v1_m1,0.694445336241056,2.98890904015151,509912.940861126,5775.73579160192,-902.410897817159,4991.55964543144,-5.17112140096012,1.6522768144505,6.68436997107103,0,0,0
688.837855287975,MOTB,v1_m1,0.757085817755913,2.97022498395389,510591.032328077,5455.61583922094,-800.829762147481,5354.37473133432,-5.5766961688912,1.76960894160867,6.3204729493481,0,0,0
746.241009895306,MOTB,v1_m1,0.81956570891426,2.9497263657951,511298.790987677,5113.5187752075,-693.103751981187,5694.79330713138,-5.95955163707587,1.8766566211073,5.93031128908698,0,0,0
803.644164502637,MOTB,v1_m1,0.881851199759528,2.92690047940209,512019.632471797,4750.83610469493,-579.859707486889,6011.40572802775,-6.31816618779092,1.97278434031977,5.51559270674535,0,0,0
861.047319109969,MOTB,v1_m1,0.943896308613561,2.90103967625823,512737.096502106,4369.0404947353,-461.75749033579,6302.90592346621,-6.65112592803167,2.05741684335961,5.07812153238743,0,0,0
918.4504737173,MOTB,v1_m1,1.0056358707496,2.8711385527088,513435.12947179,3969.67936154113,-339.486375967658,6568.09639389486,-6.95712867918174,2.13004172339539,4.61978914299561,0,0,0
975.853628324631,MOTB,v1_m1,1.06697355450413,2.8357206174166,514098.35764473,3554.36827215826,-213.761299406795,6805.89266103171,-7.2349872097417,2.19021197390442,4.14256444203295,0,0,0
1033.25678293196,MOTB,v1_m1,1.12776035716939,2.79253302023606,514712.348436841,3124.78419996156,-85.3190951487886,7015.32717483454,-7.48363178182955,2.23754609196342,3.64848439489921,0,0,0
1090.65993753929,MOTB,v1_m1,1.18775374102607,2.73798208169739,515263.852316763,2682.65866868011,45.0855452229672,7195.55270005034,-7.70211209306928,2.27173299557828,3.13964496287076,0,0,0
1148.06309214662,MOTB,v1_m1,1.24653462446945,2.66603493838702,515741.017184855,2229.7708145708,176.683985741326,7345.84518070982,-7.88959870249839,2.2925297645846,2.61819200856743,0,0,0
1205.46624675396,MOTB,v1_m1,1.30332565988227,2.56598533731497,516133.598851729,1767.94039109951,308.697705498549,7465.6061121991,-8.04538403212258,2.29976419693776,2.08631271762882,0,0,0
1262.86940136129,MOTB,v1_m1,1.35656307014832,2.41789727718368,516433.102726618,1299.02073529991,440.342371352693,7554.36443241911,-8.16888303451731,2.29333503976681,1.54622722091073,0,0,0
1320.27255596862,MOTB,v1_m1,1.40285754840745,2.18502027635726,516632.960011862,824.891710085165,570.831928960897,7611.77794967514,-8.25963361174212,2.27321230864093,1.00018052402824,0,0,0
1377.67571057595,MOTB,v1_m1,1.43493810620264,1.81705846750105,516728.607149743,347.452632408006,699.382721002151,7637.63432029376,-8.31729686187286,2.23943776122779,0.450434663312327,0,0,0
1435.07886518328,MOTB,v1_m1,1.44174263892731,1.33251150394752,516717.552993656,-131.384806513409,825.217484891663,7631.85160053468,-8.34165721721957,2.19212279795926,-0.100738710243954,0,0,0
1492.48201979061,MOTB,v1_m1,1.41981537157057,0.899142073891695,516599.466384487,-609.703625507575,947.569553319998,7594.47835337873,-8.33262252338093,2.13145199537012,-0.651066085332961,0,0,0
1549.88517439794,MOTB,v1_m1,1.37875206280976,0.610520919834214,516376.129590478,-1085.58864071814,1065.68679737976,7525.69335333249,-8.29022409074682,2.05767862180648,-1.19827909313982,0,0,0
1607.28832900527,MOTB,v1_m1,1.32806778301638,0.429781957227955,516051.44950378,-1557.13355501935,1178.83563642249,7425.80486398545,-8.21461673189979,1.97112579991,-1.7401219502713,0,0,0
