Tiempo,Comando,Veh_mot,Posición X,Posición Y,Posición Z,Velocidad X,Velocidad Y,Velocidad Z,Aceleración X,Aceleración Y,Aceleración Z,Deriva X,Deriva Y,Deriva Z
0,MOT,v1_m1,-6886575.02744332,-3771.38303556805,1.56256045649559,9.19417774973378,1477.40273392159,7546.71300040869,8.59016008870228,-0.0843007270479027,-0.265420423806504,0,0,0
57.4031546073313,MOT,v1_m1,-6871890.17154742,80945.5544684428,432915.461259235,502.296465423237,1472.56360625335,7531.47703078498,8.59016008870228,-0.0843007270479027,-0.265420423806504,0,0,0
114.806309214663,MOT,v1_m1,-6828947.05246521,165096.739469471,864081.215053181,993.401895985729,1457.69955912554,7485.82286204793,8.55537354910056,-0.258941293897338,-0.79532508360126,0,0,0
172.209463821994,MOT,v1_m1,-6757919.89148337,248108.838462401,1291757.1461608,1480.43562065174,1432.89378758555,7409.92564888905,8.48444180459391,-0.432132549328904,-1.32217843562887,0,0,0
229.612618429325,MOT,v1_m1,-6659101.57360525,329414.900235521,1714215.25421382,1961.33976796939,1398.2874638488,7304.08672037131,8.37766061129035,-0.602864493658512,-1.84378244090824,0,0,0
287.015773036656,MOT,v1_m1,-6532902.39434678,408457.781667581,2129748.4234423,2434.08303388271,1354.07893827541,7168.73221986299,8.23549279037271,-0.770141046703885,-2.35796275368879,0,0,0
344.418927643987,MOT,v1_m1,-6379848.26777488,484693.320652821,2536677.53324124,2896.67005720538,1300.52263152317,7004.41109523348,8.05856448982661,-0.932985427692816,-2.86258004030521,0,0,0
401.822082251319,MOT,v1_m1,-6200578.39916784,557593.534277329,2933358.43541028,3347.15057645612,1237.92757770125,6811.79246235646,7.84766137562077,-1.09044623505633,-3.35554089656997,0,0,0
459.22523685865,MOT,v1_m1,-5995842.44096658,626649.704602269,3318188.76288052,3783.62827991662,1166.65565063523,6591.6623720993,7.60372328744379,-1.24160296683263,-3.83480823942456,0,0,0
516.628391465981,MOT,v1_m1,-5766497.15056041,691375.353793295,3689614.53665288,4204.26929613914,1087.11948665403,6344.92001722559,7.32783797510669,-1.38557130745299,-4.29841106401842,0,0,0
